num,sx,dx,tot
1,258,240,498
2,207,204,411
3,189,199,388
4,202,205,407
5,284,222,506
6,234,176,410
7,267,263,530
8,258,217,475
9,209,220,429
10,139,138,277
11,216,185,401
12,201,201,402
13,234,273,507
14,118,220,338
15,273,297,570
16,208,181,389
17,201,207,408
18,156,214,370
19,271,349,620
20,258,316,574
21,264,350,614
22,121,111,232
23,273,289,562
24,274,302,576
25,243,301,544
26,213,296,509
27,137,118,255
28,115,163,278
29,260,267,527
30,239,275,514
31,278,252,530
32,323,283,606
33,283,270,553
34,266,254,520
35,82,69,151
36,270,184,454
37,216,242,458
38,210,183,393
39,198,180,378
40,179,175,354
41,266,279,545
42,217,232,449
43,178,202,380
44,187,160,347
45,235,218,453
46,265,209,474
47,251,232,483
48,206,178,384
49,259,215,474
50,284,173,457
51,321,192,513
52,257,216,473
53,262,187,449
54,274,217,491
55,255,220,475
56,306,249,555
57,200,270,470
58,234,233,467
59,265,374,639
60,265,251,516
61,288,284,572
62,293,240,533
63,180,201,381
64,178,246,424
65,152,174,326
66,222,247,469
67,170,239,409
68,315,297,612
69,291,330,621
70,222,375,597
71,223,303,526
72,175,278,453
73,235,286,521
74,234,303,537
75,229,284,513
76,267,392,659
77,220,431,651
78,229,399,628
79,207,373,580
80,206,344,550
81,156,353,509
82,195,378,573
83,152,312,464
84,7,7,14
85,10,7,17
86,11,11,22
Totali,18881,20692,39573
%,"47,71","52,29",100 %
